num_records,num_bins,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate,l2,gamma_hue
1000000,256,0.0001,512.0,25.52372208700381,0.25,4908745.41056822,1e-10,1.0,407.94558003649814,2d
1000000,256,0.0001,5120.0,25.52372208700381,0.25,4908745.410568403,1e-10,1.0,407.9666589413154,20d
1000000,256,0.001,32.0,25.52372208700381,0.25,49091.971913665046,1e-10,0.991,408.9211414389072,2\sqrt{d}
1000000,256,0.001,320.0,25.52372208700381,0.25,49091.97196112308,1e-10,0.999,408.69163111435415,20\sqrt{d}
1000000,256,0.001,512.0,25.52372208700381,0.25,49091.9719614152,1e-10,1.0,407.8450874795755,2d
1000000,256,0.001,5120.0,25.52372208700381,0.25,49091.971961600575,1e-10,1.0,408.28746810717143,20d
1000000,256,0.01,32.0,25.52372208700381,0.25,493.1579683066198,1e-10,0.932,408.04343952295676,2\sqrt{d}
1000000,256,0.01,320.0,25.52372208700381,0.25,493.15801581248576,1e-10,0.989,408.569038097248,20\sqrt{d}
1000000,256,0.01,512.0,25.52372208700381,0.25,493.15801610489876,1e-10,0.994,408.70069303864165,2d
1000000,256,0.01,5120.0,25.52372208700381,0.25,493.1580162904684,1e-10,0.99,408.33597751844286,20d
1000000,256,0.1,32.0,25.52372208700381,0.25,4.89026477795762,1e-10,0.611,407.9386705919625,2\sqrt{d}
1000000,256,0.1,320.0,25.52372208700381,0.25,4.8903170689807,1e-10,0.92,408.2833785886369,20\sqrt{d}
1000000,256,0.1,512.0,25.52372208700381,0.25,4.890317390850778,1e-10,0.927,408.8147769011443,2d
1000000,256,0.1,5120.0,25.52372208700381,0.25,4.890317595114501,1e-10,0.937,407.3188156304193,20d
1000000,256,1e-05,32.0,12.800801910640576,0.5,490873861.31527656,1e-10,1.0,204.87750464202776,2\sqrt{d}
1000000,256,1e-05,320.0,12.800801910640576,0.5,490873861.31532407,1e-10,1.0,205.02708864861668,20\sqrt{d}
1000000,256,1e-05,512.0,12.800801910640576,0.5,490873861.3153242,1e-10,1.0,204.7632567567585,2d
1000000,256,1e-05,5120.0,12.800801910640576,0.5,490873861.3153244,1e-10,1.0,204.8083553199739,20d
1000000,256,0.0001,32.0,12.800801910640576,0.5,4908745.41052047,1e-10,1.0,204.65191273229277,2\sqrt{d}
1000000,256,0.0001,320.0,12.800801910640576,0.5,4908745.410567927,1e-10,1.0,204.9969485566528,20\sqrt{d}
1000000,256,0.0001,512.0,12.800801910640576,0.5,4908745.41056822,1e-10,1.0,205.06245634784423,2d
1000000,256,0.0001,5120.0,12.800801910640576,0.5,4908745.410568403,1e-10,1.0,205.27237174811182,20d
1000000,256,0.001,32.0,12.800801910640576,0.5,49091.971913665046,1e-10,0.997,204.49727465191978,2\sqrt{d}
1000000,256,0.001,320.0,12.800801910640576,0.5,49091.97196112308,1e-10,0.998,205.11988788170464,20\sqrt{d}
1000000,256,0.001,512.0,12.800801910640576,0.5,49091.9719614152,1e-10,1.0,204.71665432383372,2d
1000000,256,0.001,5120.0,12.800801910640576,0.5,49091.971961600575,1e-10,1.0,204.68419818307865,20d
