dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
cifar10,vgg19_bn,38958922,False,0.10027182120205376,128,4.0,0.001,12483.416519527016,0.800050119415036,0.5,49091.971961602125,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.001,12483.416519527016,1.600100238830072,0.5,49091.971961602125,1e-10,0.97
cifar10,vgg19_bn,38958922,False,0.09956709956709957,128,8.0,0.001,12483.416519527016,1.600100238830072,0.5,49091.971961602125,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,1e-05,12483.416519527016,0.4024370499086318,1.0,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09996979764421625,128,4.0,1e-05,12483.416519527016,0.4024370499086318,1.0,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,1e-05,12483.416519527016,0.8048740998172637,1.0,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.10007047216349542,128,8.0,1e-05,12483.416519527016,0.8048740998172637,1.0,490873861.31532466,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.0001,12483.416519527016,0.4024370499086318,1.0,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09966777408637874,128,4.0,0.0001,12483.416519527016,0.4024370499086318,1.0,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.0001,12483.416519527016,0.8048740998172637,1.0,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,False,0.09956709956709957,128,8.0,0.0001,12483.416519527016,0.8048740998172637,1.0,4908745.410568406,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,4.0,0.001,12483.416519527016,0.4024370499086318,1.0,49091.971961602125,1e-10,0.99
cifar10,vgg19_bn,38958922,False,0.09966777408637874,128,4.0,0.001,12483.416519527016,0.4024370499086318,1.0,49091.971961602125,1e-10,1.0
cifar10,vgg19_bn,38958922,True,0.9395952884324977,128,8.0,0.001,12483.416519527016,0.8048740998172637,1.0,49091.971961602125,1e-10,0.98
cifar10,vgg19_bn,38958922,False,0.09936575052854123,128,8.0,0.001,12483.416519527016,0.8048740998172637,1.0,49091.971961602125,1e-10,0.99
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,1e-05,9699.6581383057,3.1855753735998977,0.125,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,False,0.10027182120205376,128,4.0,1e-05,9699.6581383057,3.1855753735998977,0.125,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,1e-05,9699.6581383057,6.3711507471997955,0.125,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,False,0.09765428370079533,128,8.0,1e-05,9699.6581383057,6.3711507471997955,0.125,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,0.0001,9699.6581383057,3.1855753735998977,0.125,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,False,0.09996979764421625,128,4.0,0.0001,9699.6581383057,3.1855753735998977,0.125,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,0.0001,9699.6581383057,6.3711507471997955,0.125,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,False,0.1004731702406121,128,8.0,0.0001,9699.6581383057,6.3711507471997955,0.125,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,0.001,9699.6581383057,3.1855753735998977,0.125,49091.97196160193,1e-10,0.99
cifar10,resnet50,23520842,False,0.10027182120205376,128,4.0,0.001,9699.6581383057,3.1855753735998977,0.125,49091.97196160193,1e-10,0.97
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,0.001,9699.6581383057,6.3711507471997955,0.125,49091.97196160193,1e-10,0.98
cifar10,resnet50,23520842,False,0.10057384475989127,128,8.0,0.001,9699.6581383057,6.3711507471997955,0.125,49091.97196160193,1e-10,0.97
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,1e-05,9699.6581383057,1.5952326304377382,0.25,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,False,0.10037249572133293,128,4.0,1e-05,9699.6581383057,1.5952326304377382,0.25,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,1e-05,9699.6581383057,3.1904652608754764,0.25,490873861.31532454,1e-10,1.0
