dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
mnist,lenet,61706,True,0.9874,128,4.0,0.0001220703125,49681.38484382254,3.1855753735998977,0.125,3294205.3482379015,1e-10,0.79
mnist,lenet,61706,False,0.1,128,4.0,0.0001220703125,49681.38484382254,3.1855753735998977,0.125,3294205.3482379015,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,0.0001220703125,496.8138484382254,6.3711507471997955,0.125,3294205.348237702,1e-10,0.53
mnist,lenet,61706,False,0.1,128,8.0,0.0001220703125,496.8138484382254,6.3711507471997955,0.125,3294205.348237702,1e-10,0.98
mnist,lenet,61706,True,0.9874,128,8.0,0.0001220703125,4968.138484382254,6.3711507471997955,0.125,3294205.348237899,1e-10,0.65
mnist,lenet,61706,False,0.1,128,8.0,0.0001220703125,4968.138484382254,6.3711507471997955,0.125,3294205.348237899,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,8.0,0.0001220703125,49681.38484382254,6.3711507471997955,0.125,3294205.3482379015,1e-10,0.76
mnist,lenet,61706,False,0.1,128,8.0,0.0001220703125,49681.38484382254,6.3711507471997955,0.125,3294205.3482379015,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.000244140625,496.8138484382254,3.1855753735998977,0.125,823555.6613425936,1e-10,0.43
mnist,lenet,61706,False,0.1,128,4.0,0.000244140625,496.8138484382254,3.1855753735998977,0.125,823555.6613425936,1e-10,1.0
mnist,lenet,61706,True,0.9874,128,4.0,0.000244140625,4968.138484382254,3.1855753735998977,0.125,823555.6613427906,1e-10,0.53
mnist,lenet,61706,False,0.1,128,4.0,0.000244140625,4968.138484382254,3.1855753735998977,0.125,823555.6613427906,1e-10,0.99
